heading,aliases,domain,definition,advantages,disadvantages,applications,code,extras
Deque,"['Double-ended queue', 'Head-tail deque', 'Queue with two ends']",Data Structures,"A deque (double-ended queue) is a data structure that allows elements to be added and removed from both the beginning and end. It supports efficient insertion and deletion of elements at either end, with an average time complexity of O(1). A deque can be implemented using arrays or linked lists.","['Efficient insertion and deletion at both ends', 'Average case time complexity of O(1)', 'Supports dynamic resizing', 'Flexible data structure for various applications']","['Space overhead due to extra memory allocation', 'Potential issues with cache performance', 'May require additional implementation effort']","['Implementing undo/redo functionality in text editors', 'Simulating a stack or queue using a deque', 'Efficiently processing data streams from both ends', 'Implementing circular buffers or queues']","char dq[10]; int front = -1, rear = -1; void enqueue_front(char c) { if (front == -1) front = 0; else rear++; dq[rear] = c; } void dequeue_front() { if (front != -1) front++; } void enqueue_rear(char c) { if (front == -1) front = 0, rear = 0; else rear++; dq[rear] = c; } void dequeue_rear() { if (rear > front) rear--; }","['Deques can be implemented as a combination of arrays and linked lists', 'The choice of implementation depends on the specific use case and performance requirements', 'In some cases, using a deque may not provide significant benefits over other data structures']"
Hash Table,"['Hash Map', 'Dictionary', 'Key-Value Store']",Data Structures,"A hash table is a data structure that stores key-value pairs in an array using a hash function to map keys to indices of the array. The hash function takes the key as input and produces an index into the array where the corresponding value is stored. Hash tables allow for efficient lookup, insertion, and deletion of elements with an average time complexity of O(1).","['Fast lookups: Hash tables allow for fast lookups with an average time complexity of O(1), making them suitable for applications that require frequent searches.', 'Efficient insertions and deletions: Hash tables support efficient insertion and deletion operations with an average time complexity of O(1).', 'Good cache performance: Hash tables can exhibit good cache performance due to the contiguous memory allocation.', 'Supports fast data retrieval: Hash tables allow for fast data retrieval by providing direct access to stored values.', 'Flexible implementation: Hash tables can be implemented using various hash functions and collision resolution techniques.', 'Scalability: Hash tables can handle large amounts of data with minimal performance degradation.', 'Low memory usage: Hash tables typically require less memory compared to other data structures like arrays or linked lists.', 'Easy to implement: Hash tables have a simple implementation, making them suitable for beginners and experienced programmers alike.']","['Sensitivity to hash function quality: A poorly designed hash function can lead to poor performance, collisions, and even crashes.', 'Collision resolution overhead: Collision resolution mechanisms like chaining or open addressing can incur additional overhead.', 'Memory usage can grow: In the worst case, memory usage can increase as the hash table grows due to frequent resizing.', 'Not suitable for ordered access: Hash tables are not designed for ordered access and may not preserve insertion order.', 'Can be sensitive to distribution of keys: If the distribution of keys is skewed or correlated, it can lead to poor performance.', 'May exhibit high variance: Hash table operations can exhibit high variance in their execution time due to hash function quality and collision resolution mechanisms.', 'Not suitable for sequential access: Hash tables are designed for random access and may not support sequential access efficiently.']","['Caching: Hash tables can be used as a cache layer to store frequently accessed data, reducing the need for disk I/O.', 'Database indexing: Hash tables can be used to index large datasets in databases, improving query performance.', 'File systems: Hash tables can be used to manage file metadata and optimize file system performance.', 'Compilers: Hash tables are often used in compilers to store symbol tables and manage memory allocation.', 'Network protocols: Hash tables can be used to implement network protocols like DNS resolution or HTTP caching.', 'Data compression: Hash tables can be used to compress data by storing frequently occurring patterns.', 'Machine learning: Hash tables can be used to store and retrieve large amounts of training data in machine learning models.', 'Recommendation systems: Hash tables can be used to build recommendation systems that suggest items based on user behavior.']","{'hash_table.h': '#ifndef HASH_TABLE_H\n#define HASH_TABLE_H\ntypedef struct HashTable{\n    int size;\n    int capacity;\n    unsigned long* keys;\n    void** values;\n}HashTable;\n#endif', 'hash_table.c': '#include ""hash_table.h""\nvoid hash_table_init(HashTable* table, int capacity){\n    table->size = 0;\n    table->capacity = capacity;\n    table->keys = (unsigned long*)malloc(capacity * sizeof(unsigned long));\n    table->values = (void**)malloc(capacity * sizeof(void*));\n}\nint hash_table_insert(HashTable* table, unsigned long key, void* value){\n    int index = key % table->capacity;\n    if(table->keys[index] == 0 || table->keys[index] == key) {\n        table->values[index] = value;\n        table->keys[index] = key;\n        return 1;\n    }\n    return 0;\n}\nvoid* hash_table_get(HashTable* table, unsigned long key){\n    int index = key % table->capacity;\n    if(table->keys[index] == key) {\n        return table->values[index];\n    }\n    return NULL;\n}', 'main.c': '#include ""hash_table.h""\nint main(){\n    HashTable* table;\n    hash_table_init(table, 10);\n    int result = hash_table_insert(table, 5, (void*)""five"");\n    void* value = hash_table_get(table, 5);\n    printf(""Value at index 5: %s\\n"", (char*)value);\n}'}","['Hash functions can be sensitive to the quality of input data. Poorly designed hash functions can lead to performance issues.', 'Collision resolution mechanisms like chaining or open addressing can incur additional overhead, but are necessary to ensure efficient lookups and insertions.', 'Hash tables require careful implementation to avoid common pitfalls like overflow, underflow, or data corruption.', ""In certain situations, it's essential to use a good hash function that distributes keys evenly across the table to prevent collisions and improve performance."", ""Resizing the hash table can be an expensive operation and may not always result in better performance. It's crucial to monitor usage patterns and adjust the capacity accordingly.""]"
Hash Map,"['Hash Table', 'Dictionary', 'Associative Array']",Data Structures,"A hash map is a data structure that stores key-value pairs in an array using a hash function to map keys to indices of the array. Each index contains a bucket, which is a linked list of key-value pairs with the same hash value.","['Fast lookups and insertions with an average time complexity of O(1)', 'Good memory usage due to load factor', 'Supports efficient collision resolution using chaining or open addressing']","['Potential for poor performance in case of collisions or hash function weaknesses', 'Memory overhead due to empty buckets and linked lists', 'Sensitivity to hash function quality and choice of initial size']","['Caching: Hash maps are used to implement caches, where keys are the cached items and values are the cached results.', 'Database indexing: Hash tables can be used as index data structures for databases.', 'Set operations: Hash sets can be used to perform set operations such as union, intersection, and difference.', 'String matching: Hash maps can be used to match strings in a given pattern.', 'Cache-friendly data layout', 'Efficient memory allocation']","typedef struct node {int key; char* value; struct node* next;} Node;

typedef struct hash_map {Node** buckets; int size; float load_factor;} HashMap;

void init(HashMap* map, int capacity) {
    map->buckets = (Node**)malloc(capacity * sizeof(Node*));
    for (int i = 0; i < capacity; i++) {
        map->buckets[i] = NULL;
    }
    map->size = 0;
    map->load_factor = 1.0 / capacity;
}

void insert(HashMap* map, int key, char* value) {
    unsigned int hash = key % map->size;
    Node** bucket = &map->buckets[hash];
    while (*bucket != NULL) {
        if ((*bucket)->key == key) {
            (*bucket)->value = strdup(value);
            return;
        }
        bucket = &(*bucket)->next;
    }
    *bucket = (Node*)malloc(sizeof(Node));
    (*bucket)->key = key;
    (*bucket)->value = strdup(value);
    map->size++;
}

void delete(HashMap* map, int key) {
    unsigned int hash = key % map->size;
    Node** bucket = &map->buckets[hash];
    while ((*bucket != NULL) && (*bucket)->key != key) {
        bucket = &(*bucket)->next;
    }
    if (*bucket == NULL) return;

    free((*bucket)->value);
    Node* next = (*bucket)->next;
    free(*bucket);
    *bucket = next;
}

char* search(HashMap* map, int key) {
    unsigned int hash = key % map->size;
    Node** bucket = &map->buckets[hash];
    while ((*bucket != NULL) && (*bucket)->key != key) {
        bucket = &(*bucket)->next;
    }
    if (*bucket == NULL) return NULL;

    return (*bucket)->value;
}","['Hash maps can be implemented using separate chaining or open addressing.', 'The choice of hash function and initial size affects the performance of the hash map.', 'Hash maps are sensitive to the quality of the hash function, which should distribute keys uniformly across the array.', 'Empty buckets can be removed from the hash table to improve memory usage.', 'Collision resolution strategies such as linear probing or quadratic probing can be used in open addressing.']"
Hash Set,"['Set', 'HashSet', 'Unique Elements Container', 'Key-Value Store']",Data Structures,"A hash set is a data structure that stores a collection of unique elements, allowing for efficient insertion, deletion, and membership testing. It uses a hash function to map keys to indices of a backing array, enabling fast lookups and operations.","['Fast lookup, insertion, and deletion with an average time complexity of O(1)', 'Efficient memory usage by storing only unique elements', 'Good for applications requiring frequent additions and removals of elements', 'Can be used to implement sets, bags, and other data structures', 'Supports operations like union, intersection, and difference']","['Sensitive to hash function quality: poor choices can lead to slow performance', 'May suffer from collisions, affecting lookup efficiency', 'Not suitable for applications requiring strict ordering or iteration', 'Can be memory-intensive if not properly resized', 'Maintenance may become complex with large datasets']","['Implementing sets and bags in algorithms', 'Fast membership testing in language interpreters', 'Caching mechanisms to reduce redundant computations', 'Efficient data deduplication and normalization', 'Database query optimization through set operations']","typedef struct hash_set { int* backing_array; size_t capacity; size_t size; } HashSet;

void insert(HashSet* hs, int key) {
    if (hs->size >= hs->capacity * 0.75) {
        resize(hs);
    }
    hs->backing_array[hs->size] = hash(key); // Assuming a hash function 'hash'
    hs->size++;
}

int lookup(HashSet* hs, int key) {
    return hs->backing_array[hash(key)] == key ? 1 : 0;
}",[]
Linear Search,"['Sequential search', 'Unordered search', 'Element location', 'Simple search']",Data Structures,"Linear search is a method of finding an element in a list or array by checking each element individually, one after the other. It starts from the beginning of the list and continues until it finds the target element or reaches the end of the list.","['Simple to implement', 'Fast for small lists or arrays', 'No extra space required']","['Slow for large lists or arrays (O(n) time complexity)', 'Not efficient for ordered data structures', 'Not suitable for searching in sorted data']","[""Searching a list of names to find a specific person's name"", 'Locating a target value in an array of integers', 'Finding a word in a dictionary or thesaurus']","int linearSearch(int arr[], int size, int target) {
if (size == 0) return -1;
for (int i = 0; i < size; i++)
{
if (arr[i] == target)
return i;
}
return -1;
}","['Linear search is a basic searching algorithm and has many variations, including', 'Hashing-based linear search for large datasets', 'Using binary search instead of linear search when data is sorted']"
Binary Search Tree,"['BST', 'Binary Tree Search', 'Ordered Binary Tree']",Data Structures,"A binary search tree is a data structure in which each node has at most two children (i.e., left child and right child) and each node represents a value. The left subtree of a node contains only values less than the node's value, while the right subtree of a node contains only values greater than the node's value.","['Search operations can be performed efficiently with an average time complexity of O(log n), where n is the number of nodes in the tree.', 'Insertion and deletion of nodes can be done efficiently with an average time complexity of O(log n).', 'The tree can be traversed in a sorted order, making it suitable for applications that require sorted data.', 'It supports range queries and nearest neighbor searches.', 'The tree can be balanced to ensure efficient search operations.', 'It is a self-balancing binary search tree, which ensures that the height of the tree remains relatively small even after insertions and deletions.']","['Insertion and deletion operations can cause the tree to become unbalanced, leading to poor performance.', 'The tree requires extra memory to store additional information such as node pointers.', 'Construction of the tree can be time-consuming for large datasets.', 'Balancing the tree can be computationally expensive.', 'The tree may not be suitable for very small datasets due to overhead of extra memory and computation.', 'It is more complex than other data structures like arrays or linked lists.']","['Database indexing', 'File system organization', 'Compilers', 'Text editors', 'Web search engines']","struct Node { int data; struct Node* left, *right; }; void insert(Node** root, int key) { if (*root == NULL) *root = newNode(key); else if (key < (*root)->data) insert(&(*root)->left, key); else if (key > (*root)->data) insert(&(*root)->right, key); }","['A binary search tree can be implemented using various data structures such as arrays or linked lists.', 'There are several types of binary search trees, including AVL trees and Red-Black trees, which ensure efficient search operations by balancing the tree.', 'The height of a binary search tree can vary depending on the order in which nodes are inserted.', 'A balanced binary search tree can be constructed using techniques such as rotations or insertion and deletion operations.']"
AVL Tree,"['Self-Balancing Binary Search Tree', 'Multiway Search Tree with Balance Property', 'Balanced Binary Search Tree']",Data Structures,"A self-balancing binary search tree data structure, where the difference in height between the left and right subtrees cannot exceed one for any node. It ensures efficient search, insertion, and deletion operations by adjusting its balance factor.","['Efficient search, insertion, and deletion with an average time complexity of O(log n)', 'Guarantees a balanced tree, minimizing the height and maintaining a consistent search time', 'Resilient to data skewness, preventing performance degradation due to uneven node distribution', 'Supports efficient range queries and nearest neighbor searches', 'Easy to implement and maintain, with a straightforward balance factor calculation', 'Flexible in handling varying data insertion rates and deletion patterns', 'Optimized for disk-based storage, reducing page faults and improving overall system performance', 'Supports concurrent access and modification, making it suitable for multi-threaded environments', 'Efficiently handles insertions and deletions by rebalancing the tree in O(log n) time', 'Suitable for implementing B-tree indices and other disk-based data structures']","['Insertion and deletion operations may result in a temporary increase in tree height, leading to increased search times', 'Rebalancing after insertion or deletion can be costly, especially for very large trees', 'May not be suitable for extremely small datasets due to overhead of balance factor calculation', 'Can become unbalanced if insertion/deletion patterns are highly skewed or irregular', 'Inefficient for very small trees (less than 10-15 nodes) due to overhead of balance factor calculation', 'Not self-balancing in the presence of concurrent modifications, requiring manual intervention', 'May require additional memory to store node pointers and balance factors', 'Insertion and deletion can be expensive in terms of time complexity when dealing with highly unbalanced trees', 'Can lead to cache thrashing if not implemented efficiently, resulting in decreased performance']","['Database indexing and querying', 'File system management and organization', 'Cache optimization and data retrieval', 'Web search engine ranking and indexing', 'Machine learning model optimization and prediction', 'Scientific computing and data analysis', 'Real-time systems and embedded systems development', 'Big data processing and storage systems', 'High-performance computing (HPC) applications', 'Predictive modeling and simulation']","int insertNode(int key, Node* root){
if(root == NULL) {
root = newNode(key);
count++;
return root;
}
if(key < root->key)
root->left = insertNode(key, root->left);
else if (key > root->key)
root->right = insertNode(key, root->right);
else return root; // duplicate key
int balanceFactor = getBalance(root);
if(balanceFactor > 1 && key < root->left->key) {
return rightRotate(root);
} else if (balanceFactor > 1 && key > root->left->key) {
root->left = leftRotate(root->left);
root = rightRotate(root);
}
else if (balanceFactor < -1 && key > root->right->key) {
return leftRotate(root);
} else if (balanceFactor < -1 && key < root->right->key) {
root->right = rightRotate(root->right);
root = leftRotate(root);
}
count++;
return root;
}",[]
Red Black Tree,"['B-Tree', '2-3 Tree', 'Balanced Binary Search Tree']",Data Structures,"A Red Black Tree is a self-balancing binary search tree data structure with a guarantee of O(log n) time for search, insert, and delete operations. Each node in the tree has a color (red or black), and the tree maintains the following properties: each leaf node is black, all red nodes must have two black children, and for any node, all paths from the root to its descendant leaves contain the same number of black nodes.","['O(log n) time complexity for search, insert, and delete operations', 'Self-balancing property ensures efficient data retrieval', 'Supports fast search, insertion, and deletion of elements', 'Maintains a consistent height throughout the tree', 'Efficient use of memory']","['Insertion and deletion operations can be complex to implement', 'Requires careful maintenance of balance factor during rotations', 'Tree rebalancing can lead to increased overhead', 'May not perform well with skewed data distributions', 'Insertion and deletion can cause temporary imbalance']","['Database indexing and query optimization', 'File system organization and access', ""Compilers' symbol tables and parse trees"", 'Data compression algorithms and Huffman coding', 'Scientific computing and numerical analysis']","typedef struct node { int key; char color; struct node* left, *right, *parent; } Node;
Node* root = NULL;
typedef enum { RED, BLACK } Color;
void insert(int key) {
	Node* newNode = (Node*) malloc(sizeof(Node));
	newNode->key = key;
	newNode->color = RED;
	newNode->left = newNode->right = newNode->parent = NULL;
	insert_node(&root, newNode);
}
void insert_node(Node** node, Node* newNode) {
	if (*node == NULL) {
		*node = newNode;
	} else if (newNode->key < (*node)->key) {
		insert_node(&((*node)->left), newNode);
	} else {
		insert_node(&((*node)->right), newNode);
	}
}",[]
Splay Tree,"['self-adjusting binary search tree', 'splaying binary search tree', 'splay binary tree']",Data Structures,"A self-balancing binary search tree that rotates nodes to the root based on access patterns, maintaining a balanced structure.","['Self-balances after each operation, ensuring efficient search, insertion, and deletion in O(log n) time.', 'Adapts to changing access patterns, minimizing page faults and improving performance.', 'Can be used as a cache for frequently accessed elements.', 'Supports both binary search tree operations (search, insert, delete) and splaying.', 'Maintains a balanced structure even after repeated accesses to the same node.', 'Efficient in managing large datasets with skewed access patterns.']","['Requires more complex code compared to traditional binary search trees.', 'Can suffer from cache thrashing if not properly implemented.', 'May incur additional overhead for splay operations, especially for small trees.', 'Not suitable for applications requiring strict ordering of elements.', 'Can lead to uneven node distribution if access patterns are highly irregular.']","['Database indexing and caching', 'File system management (e.g., directory traversal)', ""Compilers' symbol tables"", 'XML document parsing', 'Managing large datasets in scientific simulations', 'Self-adjusting data structures for web search engines']","typedef struct Node {
	int key;
	struct Node* left, *right;
} Node;

void splay(Node** root, int key) {
	Node* temp = NULL;
	pushdown(root, &temp, key);
}

void pushdown(Node** root, Node** temp, int key) {
	if (*root == NULL || (*root)->key == key)
		return;

	int cmp = key - (*root)->key;
	if (cmp < 0)
		(*root)->left = splay(&(*root)->left, key);
	else if (cmp > 0)
		(*root)->right = splay(&(*root)->right, key);

	temp = (*root);
	*root = NULL;
}

int main() {
	Node* root = malloc(sizeof(Node));
	root->key = 5;
	root->left = root->right = NULL;

	printf(""Pre-splay tree: %d\n"", root->key);

	splay(&root, 3);
	printf(""Post-splay tree: %d\n"", root->key);

	return 0;
}",[]
B-Tree,"['Multiway Search Tree', 'Balanced Multikey Search Tree', 'Variable-Length Search Tree']",Data Structures,"{'concept': 'A self-balancing search tree data structure that keeps data sorted and allows for efficient insertion, deletion, and searching with an average time complexity of O(log n). It is a multi-level index where each node has a fixed number of child nodes, and the height of the tree is kept relatively constant by rotating nodes during insertions and deletions.', 'properties': ['Each internal node represents a search key,', 'All keys in the left child node are less than the search key in its parent node,'], 'examples': ['Database indexing', 'File systems']}","['Efficient insertion and deletion with O(log n) time complexity', 'Supports range queries and prefix matching', 'Balanced tree structure reduces page traversals', 'Good for large datasets with frequent updates', 'Robust against node failures in distributed systems']","['Insertion and deletion can be slow due to rotations', 'Space usage is high due to multiple pointers per node', 'Height of the tree depends on the balance factor', 'Implementation complexity increases with higher order B-trees', 'Not suitable for small datasets or static data']","['Database indexing and querying', 'File system organization and retrieval', 'Text searching and ranking algorithms', 'Caching mechanisms in web servers', 'Query optimization in relational databases']","typedef struct node {
struct node* child[26];
int key;
} *BTree;
void insert(BTree root, int key) {
BTree new_node = malloc(sizeof(struct node));
new_node->key = key;
// Insertion logic...
}
void inorderTraversal(BTree root) {
if (root == NULL)
return;
// Print the current node's key...
inorderTraversal(root->child[0]);
inorderTraversal(root->child[1]);
inorderTraversal(root->child[2]);
}",[]
B+ Tree,"['Balanced B-Tree', 'B+ File Organization', 'Multi-Level Indexing']",Data Structures,"A self-balancing search tree data structure that keeps data sorted and allows search, insert, and delete operations in logarithmic time. It is a multi-level indexing technique used to organize large amounts of data on secondary storage devices.","['Supports range queries efficiently', 'Maintains data balance across nodes', 'Optimizes disk I/O by minimizing the number of block accesses', 'Suitable for large datasets and real-time systems', 'Improves query performance by reducing tree height', 'Enhances storage efficiency through node merging']","['Insertion and deletion operations can be complex', 'Tree rebalancing may lead to temporary performance degradation', 'Requires careful tuning of parameters such as order and fanout', 'May not perform well with highly skewed data distributions', 'Can suffer from cascading failures during high insertion rates', 'Higher memory usage due to node caching']","['Database indexing and querying', 'File systems organization and retrieval', 'Big data processing and analytics', 'Real-time data processing and stream processing', 'Scientific simulation and modeling', 'Gaming industry for game state management', 'Cloud storage systems for data retrieval and caching']","#include <stdio.h>
#include <stdlib.h>

// Structure to represent a node in the B+ tree
struct Node {
    int order;
    int keys[100];
    int children[100];
    int leaf;
};

// Function to create a new node
Node* newNode(int order) {
    Node* temp = (Node*) malloc(sizeof(Node));
    temp->order = order;
    for (int i = 0; i < 2 * order - 1; i++) {
        temp->keys[i] = INT_MIN;
        temp->children[i] = NULL;
    }
    temp->leaf = 1;
    return temp;
}

// Function to insert a key into the B+ tree
void insertKey(Node** root, int* order, int* keys, int child, int key) {
    // ... (insertion logic omitted for brevity)
}

int main() {
    Node* root = newNode(3);
    int keys[] = {5, 2, 8, 3};
    insertKey(&root, &keys[0], keys, 1, 9);
    // ... (traversal and search logic omitted for brevity)
}",[]
Segment Tree,"['Balanced Search Trees', 'Segmented Trees', 'Interval Trees']",Data Structures,"A Segment Tree is a binary tree data structure used for storing information about intervals, or segments. It is particularly useful in applications where range queries are frequently performed. The tree is constructed by dividing the interval into two equal parts at each node, allowing for efficient searching and updating of intervals.","['Efficient range queries with O(log n) time complexity', 'Supports insertions and deletions of intervals in O(log n) time', 'Space-efficient storage of interval data', 'Flexible and scalable structure for large datasets', 'Allows for overlapping intervals to be stored efficiently', 'Can be used for a variety of range-based queries, such as sum, min, max, etc.', 'Segment Trees can handle multiple queries on the same interval', 'Supports dynamic updates to the tree structure']","['Requires additional memory storage for tree nodes', 'Insertion and deletion operations may be complex to implement', 'May not be suitable for very small datasets due to overhead of tree construction', 'Can become inefficient if intervals are highly unbalanced or irregular', 'Requires careful balancing to ensure efficient query performance']","['Range-based queries in databases and data warehouses', 'Efficient storage and querying of interval-based data in scientific simulations', 'Time-series data analysis and prediction models', 'Geographic information systems (GIS) for spatial range queries', 'Network traffic monitoring and analysis', 'Financial modeling and forecasting with time-dependent variables']","struct node{int start,end;node* left,right;};
void buildTree(node** root,int l,int r){if(l==r){*root=(node*)malloc(sizeof(node));(*root)->start=l;(*root)->end=r;return;}int m=(l+r)/2;if((*root)=(node*)malloc(sizeof(node)))(*root)->start=l;(*root)->end=m;buildTree(&((*root)->left),l,m);buildTree(&((*root)->right),m+1,r);}void update(node* root,int i,int value){if(root->start==root->end){root->value+=value;return;}int m=(root->start+root->end)/2;if(i<=m)update(root->left,i,value);elseupdate(root->right,i,value);
int query(node* root,int l,int r){if(l>root->end||r<root->start)return 0;if(l<=root->start&&r>=root->end)return root->value;int m=(root->start+root->end)/2;if(m>=l)res+=query(root->left,l,r);
if(m<r)res+=query(root->right,l,r);return res;}",[]
Fenwick Tree,"['Binary Indexed Tree', 'Compressed Binary Indexed Tree', 'Cartesian Tree']",Data Structures,"A Fenwick tree is a data structure that stores a sequence of numbers in an array, allowing for efficient range sum queries and point updates.","['Supports range sum queries with O(log n) time complexity', 'Allows point updates with O(log n) time complexity', 'Memory usage is relatively low compared to other data structures', 'Efficient for sparse arrays or matrices', 'Can be used for offline range sum queries and updates', 'Can handle large datasets efficiently', 'Supports prefix sums and cumulative sums', 'Can be implemented with a binary array']","['Not suitable for online range sum queries and updates due to cache efficiency', 'Slow for dense arrays or matrices', 'Cache locality can be an issue if not properly optimized', 'Not designed for insertion, deletion, or other operations on the underlying array', 'Requires additional memory for indexing and bit manipulation', 'Can be complex to implement and debug', 'Does not support random access queries', 'May require multiple iterations for certain range sum queries']","['Efficient range sum queries in sparse matrices or arrays', 'Compressed binary indexed tree for fast prefix sums', 'Cartesian trees for storing and querying complex data structures', 'Fenwick tree-based approach to finding the largest subset of a set with a given property', 'Optimized algorithm for calculating cumulative sums over large datasets']","int* fenwickTreeInit(int n) {
	int* ft = (int*)malloc((n + 1)*sizeof(int));
	for (int i = 0; i <= n; i++) ft[i] = 0;
	return ft;
}

void updateFenwickTree(int* ft, int k, int value) {
	while (k < ftSize(ft)) {
		ft[k] += value;
		k |= k + 1;
	}
}

int queryFenwickTree(int* ft, int i) {
	int sum = 0;
	while (i > 0) {
		sum += ft[i];
	　i -= i & -i;
	}
	return sum;
}",[]
Trie,"['prefix tree', 'digital tree', 'finite automaton']",Data Structures,"A Trie is a data structure composed of a set of nodes, where each node represents a string. It is often used for storing and retrieving large amounts of string data efficiently.","['Supports fast lookup, insertion, and deletion operations with an average time complexity of O(m), where m is the length of the input string', 'Can store multiple strings with the same prefix efficiently', 'Suitable for implementing autocompletion and prefix matching algorithms', 'Compact storage requirements due to sharing common prefixes between nodes', 'Efficient use of memory, especially when dealing with a large number of unique strings']","['Insertion and deletion operations can be slow if the Trie is unbalanced', 'Not suitable for storing non-string data or complex data structures', 'Can become inefficient in terms of space usage if not properly optimized', 'Limited support for multi-key queries compared to other data structures', 'Can suffer from memory fragmentation issues if used incorrectly']","['Autocomplete feature implementation for search bars and input fields', 'IP routing and packet forwarding in computer networks', 'File system storage and retrieval of file names and directories', 'Spell checking and dictionary lookups in natural language processing tasks', 'Text classification and categorization in information retrieval systems']","struct node { char data; struct node* children[26]; bool is_end_of_word; }; int main() { // Initialize root node node* root = (node*)malloc(sizeof(node)); root->data = '
'; for (int i = 0; i < 26; i++) root->children[i] = NULL; return 0; }",[]
Suffix Tree,"['suffix trie', 'longest proper prefix which is also a suffix tree', 'LPPS tree']",Data Structures,"A suffix tree is a compact, space-efficient data structure that stores all the suffixes of a given string. It is a tree-like data structure where each node represents a substring and its children represent overlapping substrings.","[""Sparse representation of a string's suffixes"", 'Efficient support for suffix queries', 'Facilitates pattern matching and search operations', 'Faster searching and retrieval of information', 'Memory-efficient, especially for large strings', 'Supports substring matching and counting', 'Enables efficient computation of longest common prefixes', 'Optimized for prefix matching and substring querying']","['Difficult to construct from scratch', 'Memory usage can be high for very long strings', 'Not well-suited for frequent insertions or deletions', 'Maintenance may require significant computational overhead', 'Frequently accessed nodes can lead to performance bottlenecks', 'Construction time is often longer than other data structures', 'Sparse node distribution can result in less efficient queries']","['Text searching and indexing algorithms', 'Pattern matching and regular expressions', 'Data compression and encoding schemes', 'Cryptographic hash functions and digital signatures', 'Machine learning and natural language processing', 'Genomic sequence analysis and biological databases', 'Automated testing and debugging tools', 'Regular expression parsing and optimization']","char string[] = ""hello world"";
int length = strlen(string);
suffix_tree tree;
tree.build(string, length);
code node = tree.search(""world"");
instruction instruction;
instruction.query(node);",[]
Suffix Array,"['suffix tree array', 'prefix sum array', 'suffix index']",Data Structures,A suffix array is a data structure that stores the starting positions of all suffixes of a given string in sorted order. It is an array where each element represents the starting position of a unique suffix of the input string.,"['Supports fast range minimum query (RMQ) operations with O(1) time complexity', 'Enables efficient substring matching and searching', 'Can be used to build suffix trees and laddered suffix trees', 'Efficient for data compression and indexing', 'Supports string manipulation and pattern matching']","['Requires significant memory space to store the array', 'Construction of the suffix array can be computationally expensive', 'May not be suitable for very large strings due to memory constraints', 'Requires additional data structures for efficient query operations', 'Can be affected by issues related to string length and character distribution']","['String searching and matching in natural language processing', 'Efficient substring matching in bioinformatics and text mining', 'Data compression and indexing in databases and file systems', 'Pattern recognition and classification in machine learning', 'String manipulation and querying in text editors and IDEs']","typedef struct suffix_array {
int* start_positions;
int string_length;
} suffix_array_t;

void construct_suffix_array(char* input_string, int* start_positions) {
int i;
for (i = 0; i < strlen(input_string); i++) {
start_positions[i] = i;
}
sort(start_positions, strlen(input_string));
}

int query_suffix_array(suffix_array_t* suffix_array, int query_index) {
return suffix_array->start_positions[query_index];
}",[]
